era_code,doi,author,journal,n_rows_raw
NJ0150,10.1016/j.agwat.2016.01.003,Kifle,AGR WATER MANAGE,6
NJ0151,10.1017/S0021859616000897,Muluneh,J AGR SCI,80
NM0005,10.1016/j.heliyon.2021.e08657,Alemu,HELIYON,72
NM0040,10.1080/00103624.2023.2211107,Zerssa,COMMUN SOIL SCI PLAN,93
NM0070,10.1155/2023/5996945,Loha,APPL ENVIRON SOIL SCI,126
NM0078,10.1155/2022/7397872,Jibril,APPL ENVIRON SOIL SCI,69
NM0089,10.1007/s12892-019-0004-0,Kassie,J CROP SCI BIOTECHNOL,16
NM0094,10.1186/s40066-018-0245-6,Guji,AGRIC FOOD SECUR,94
NM0104,10.1007/s40899-022-00771-5,Eshete,Sustainable Water Resources Management,27
NM0114,10.1016/j.heliyon.2020.e05295,Baraki,HELIYON,288
NM0138,10.1080/23311932.2020.1771114,Golla,CONGENT FOOD AGRIC,16
NN0188,https://doi.org/10.1016/0377-8401(92)90062-B,Khalili,Animal Feed Science and Technology,3
NN0189,10.1017/s1751731108001912,Koralagama,Animal,40
NN0190,10.1017/S1357729800050657,Kurtu MY,ANIM SCI,18
NN0191,10.1007/bf00705245,Larbi A,AGROFOREST SYST,4
NN0192,,Lulu B,BODENKULTUR,24
NN0193.1,10.1007/s003740050482,Lupwayi NZ,BIOL FERT SOILS,4
NN0195,10.1016/j.still.2007.08.002,McHugh OV,SOIL TILL RES,109
NN0196,10.1016/j.livprodsci.2004.01.003,Melaku,Livestock Production Science,12
NN0197,10.1016/j.anifeedsci.2003.11.003,Melaku,Animal Feed Science and Technology,12
NN0198,10.1016/j.livsci.2013.08.012,Melesse,Livestock Science,20
